Filename,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15,UMAP_16,UMAP_17,UMAP_18,UMAP_19
28-MFCC.csv,5.7558694,7.049154,2.6476872,5.0929923,5.721661,3.7909892,6.6417537,7.071344,6.5926304,5.8820863,3.652549,6.098087,3.907877,4.960772,2.4074156,5.619653,4.7334733,4.1883025,6.3137007
29-MFCC.csv,5.4396963,7.2661076,2.6349115,5.083024,5.8798566,3.8977957,6.4467125,6.9535537,6.39777,5.7525973,3.5141912,5.8520713,3.7832944,4.927656,2.5060594,5.6959543,4.557999,4.195205,6.4401975
30-MFCC.csv,6.7035923,7.1554236,3.2440534,5.3094277,5.54738,2.7332573,8.437987,6.980463,7.1626873,4.860455,4.5528445,7.3821173,4.2061453,5.0216727,1.9143944,6.2668023,4.3936477,4.626563,6.9143877
31-MFCC.csv,6.6838384,6.701325,2.9816606,5.132256,5.306434,3.3045204,7.5798364,7.336493,7.1893883,5.8351927,4.0232615,6.4869456,4.030606,5.1656103,1.9334136,5.3974614,5.119204,4.163935,6.316956
32-MFCC.csv,6.706509,7.0407867,4.0880513,5.618823,5.0215373,2.2651298,9.0584955,6.7553897,6.9607983,5.221688,5.3727884,7.891358,4.6274214,4.517991,2.5237343,6.85394,3.8548896,5.337014,7.3911147
33-MFCC.csv,6.551797,6.9770474,3.92299,5.627159,5.0210156,2.393314,8.753694,6.5760365,6.9612327,5.2666507,5.39544,7.9541683,4.602282,4.2738967,2.6161742,6.951769,3.6871095,5.3087707,7.4407606
34-MFCC.csv,6.7705564,6.727081,3.108306,4.9259257,5.129471,3.005805,8.085277,6.882292,7.4397845,5.2247615,4.9094324,7.657527,4.174212,4.6516404,1.9461547,6.0237856,4.776199,4.6782255,6.733598
35-MFCC.csv,6.675905,6.648678,2.9723392,5.100781,5.3371973,3.1872237,7.4053903,7.3750334,7.217411,5.865699,3.8195264,6.38825,3.9737694,5.141666,1.8754673,5.275438,5.1733704,4.046344,6.2162824
36-MFCC.csv,6.37443,7.000398,3.3082936,5.2359233,5.260404,2.67887,8.078788,6.7941227,6.892932,5.2888007,4.7085176,7.534165,4.331877,4.6336026,2.3523676,6.3384266,4.2315764,4.8301706,7.181467
37-MFCC.csv,6.7582145,6.7855806,3.1437182,5.0583878,5.1484056,2.884551,8.147199,6.8240767,7.327964,5.183873,4.841689,7.6534243,4.160693,4.670928,2.031123,6.2380986,4.4411592,4.6775746,6.9950886
38-MFCC.csv,6.62241,7.113882,4.004824,5.4425225,5.138385,2.4680014,8.841159,6.2247715,7.114037,4.942603,5.533492,8.111372,4.3702874,4.101094,2.353293,7.1244946,3.62257,5.257849,7.4251094
39-MFCC.csv,6.693296,7.019549,3.682954,5.272045,5.194484,2.5148692,8.806289,6.4884677,7.2236366,4.9006824,5.382352,8.077536,4.4051223,4.335181,2.233131,6.8298655,3.9556255,5.1219983,7.2859974
40-MFCC.csv,6.2604165,7.1165547,3.5322764,5.4511657,5.3005033,2.5363817,8.282337,6.7775116,6.7065287,5.300542,4.8019023,7.4857526,4.503046,4.5949283,2.5168173,6.5215116,4.046116,5.002405,7.3151674
41-MFCC.csv,6.6484113,6.924878,3.6967485,5.3460703,5.1106744,2.3965251,8.842301,6.5700827,7.1547065,5.048107,5.4944944,8.1596155,4.5215225,4.28406,2.3630135,6.853119,3.9245167,5.225369,7.381469
42-MFCC.csv,6.6976066,7.149729,3.9322567,5.505847,5.203891,2.377537,8.898164,6.574634,7.0758357,4.952103,5.2558756,7.907198,4.440305,4.531265,2.3844216,6.8373823,3.8564866,5.228251,7.3106604
43-MFCC.csv,6.6703496,6.9408975,3.5226054,5.217243,5.193112,2.6845293,8.545017,6.454323,7.2924604,4.9724765,5.300136,8.016922,4.311991,4.2991,2.200644,6.74064,4.0193353,5.013692,7.2135844
44-MFCC.csv,7.2553163,6.7281637,3.6161067,5.2776556,4.9755087,2.6133204,9.191127,7.280164,7.392045,5.1578126,5.086025,7.4707084,4.451027,5.12196,1.9346904,6.3012886,4.6242294,4.8688016,6.9626617
45-MFCC.csv,6.442465,6.7497973,2.8504899,5.078596,5.401213,3.5191574,7.366386,7.2905955,7.0285234,5.968617,3.951839,6.345313,3.9913766,5.178912,2.061414,5.319399,5.146759,4.0979557,6.29243
46-MFCC.csv,5.7424445,7.081461,2.6437697,5.07575,5.878056,3.818178,6.672777,6.8906083,6.5312223,5.6412964,3.4345791,6.1409154,3.709385,5.0620604,2.3374908,5.698685,4.4434023,4.030304,6.4739895
47-MFCC.csv,7.0002995,7.0995545,3.537604,5.5015726,5.3924513,2.5388513,8.974921,7.0055537,7.2426677,4.8321247,4.9289618,7.5777574,4.3644543,4.981173,1.9441944,6.548328,4.196997,4.845339,7.1319385
48-MFCC.csv,6.568683,6.85696,3.402258,5.1502767,5.120897,2.7500226,8.190524,6.590238,7.2060237,5.2661943,5.040169,7.782221,4.21968,4.4305773,2.2761605,6.444104,4.203127,4.921832,7.0871716
49-MFCC.csv,6.8662696,7.0378904,3.6936262,5.194081,5.1736803,2.5546753,8.968733,6.7568955,7.2381706,4.8502426,5.1368527,7.803534,4.373711,4.736834,2.091632,6.620237,4.18728,4.962401,7.184597
50-MFCC.csv,5.749518,7.092621,2.5772717,5.065414,5.713026,3.8015544,6.535055,7.0948844,6.5394616,5.9003787,3.5483768,6.006614,3.904644,5.034969,2.400666,5.517029,4.850541,4.1813855,6.248887
51-MFCC.csv,5.4875994,7.306612,2.5296257,5.29389,5.9869523,4.0828414,6.407726,6.9779816,6.4813247,5.8512444,3.1768317,5.6529856,3.7773218,5.175986,2.5196235,5.5113683,4.491098,4.069181,6.547972
52-MFCC.csv,6.5234604,7.263078,3.4929519,5.348676,5.590263,2.3789163,8.892206,6.9302225,7.0790296,4.8242145,4.943164,7.8399453,4.436069,4.758422,2.0552545,6.39633,4.421595,4.976013,6.850058
53-MFCC.csv,7.097119,6.7628713,3.1969957,5.1268525,5.1857634,2.875079,8.64957,7.180223,7.4733176,5.0558667,4.892636,7.5248723,4.270562,5.012405,1.7776308,6.108789,4.769641,4.646565,6.840307
54-MFCC.csv,6.5363355,6.9982243,3.1395853,5.078012,5.366451,2.7449343,8.134433,6.6565456,7.2363176,4.959801,4.73529,7.7142873,4.0757127,4.643877,2.0697713,6.3819466,4.195798,4.6978,7.0163603
55-MFCC.csv,6.4817085,6.944147,3.065709,4.9378467,5.405348,2.87757,7.9936185,6.6654415,7.3355975,5.05681,4.8476906,7.80654,4.0985312,4.501881,1.9945834,6.123817,4.621738,4.7263927,6.7177305
56-MFCC.csv,6.439653,6.993607,3.811476,5.5793805,5.1327963,2.2429144,8.861224,6.706639,6.8524766,5.242612,5.3836346,7.9938455,4.6964006,4.34879,2.560601,6.8842826,3.8353298,5.292496,7.4880757
57-MFCC.csv,6.543701,6.763683,3.1975453,5.035319,5.0968194,2.9337983,7.903999,6.674499,7.2260265,5.400383,4.861367,7.613849,4.160645,4.4913054,2.2120206,6.215445,4.4229784,4.7602963,6.961601
58-MFCC.csv,6.4953246,6.89456,3.1032448,5.0436645,5.368184,2.9658597,7.8593497,6.6820617,7.2186427,5.3462896,4.590436,7.4945183,3.9962137,4.591141,2.0819244,6.1096325,4.495604,4.5845304,6.789711
59-MFCC.csv,5.6503167,7.1601434,2.560221,5.201382,5.9695153,3.9679375,6.642174,6.9350433,6.583785,5.7284527,3.2784202,5.8720813,3.6718557,5.1582837,2.3619914,5.5700536,4.510406,3.9773138,6.4768343
60-MFCC.csv,6.3728514,6.9833565,3.2214606,5.187332,5.260759,2.7158496,7.9960794,6.9287553,6.8379464,5.33686,4.5737376,7.4279695,4.3615785,4.7426314,2.3188245,6.209367,4.3680806,4.742758,7.164998
61-MFCC.csv,6.547408,6.690918,2.982738,5.1308064,5.4558134,3.2162955,7.339774,7.24898,7.2032466,5.7272124,3.7854128,6.400819,3.8909826,5.0845222,1.8592817,5.3284883,5.032271,4.0215464,6.370389
62-MFCC.csv,6.7342973,7.0943537,3.9491785,5.534168,5.158473,2.2971952,9.101042,6.77265,7.0278096,5.0296946,5.296324,7.8880687,4.565541,4.613138,2.3582172,6.8107324,3.940575,5.2237883,7.336967
63-MFCC.csv,5.43628,7.200489,2.5801368,5.0819883,6.0138493,4.0503488,6.4666686,6.903607,6.3875337,5.741778,3.2843146,5.768738,3.5955024,5.0472603,2.4535716,5.684884,4.394031,3.9744627,6.4710445
64-MFCC.csv,6.6728725,7.323025,3.3862321,5.470327,5.689725,2.585917,8.677359,6.9939237,7.0868516,4.740558,4.5887127,7.3960247,4.2941585,5.0543146,1.9267061,6.3713546,4.308853,4.725337,6.9109015
