,Filename,Encoded_1,Encoded_2,Encoded_3,Encoded_4,Encoded_5,Encoded_6,Encoded_7,Encoded_8,Encoded_9,Encoded_10,cluster
106,90-MFCC.csv,15.633993,17.64204,27.157938,0.7358911,-25.032478,-3.6053605,16.807392,3.4631865,-4.195472,19.152056,0
107,91-MFCC.csv,3.1614335,-12.886081,-4.7530475,12.042659,10.078101,-3.205966,-1.1017597,0.37944767,-16.501688,0.2311005,1
108,92-MFCC.csv,3.7092297,2.401448,1.090674,17.428282,-0.5023125,10.91167,8.4546795,7.228099,5.3469224,-1.4263141,2
109,93-MFCC.csv,17.852222,9.529401,12.288714,0.4453367,-13.247019,1.9243249,1.0851092,26.262793,9.547855,17.807657,0
110,94-MFCC.csv,-1.7733732,-7.889674,8.7841835,2.8870852,3.5758364,-7.873035,1.0074503,-3.1398242,-8.149807,11.093557,4
111,95-MFCC.csv,8.120408,8.226495,8.504605,15.85443,-15.607789,-6.379238,12.275688,-14.170882,5.7127123,7.34023,0
112,96-MFCC.csv,-2.7529588,10.026842,-2.1642501,22.471216,-16.895988,-9.958421,9.186842,4.7608514,14.88221,19.314312,2
113,97-MFCC.csv,2.0968354,2.1597395,1.4299159,17.19239,-12.7717905,-3.0883937,11.749993,19.385128,9.63531,17.287292,2
114,98-MFCC.csv,-8.627557,3.4917595,3.042468,-5.3660703,-3.259237,9.948542,22.64654,23.649298,-1.136839,14.16223,4
115,99-MFCC.csv,0.6614607,-28.659868,-22.567278,18.942226,18.424204,-3.0813062,13.760923,1.4483899,-13.382709,-10.049975,1
