,Filename,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15,UMAP_16,cluster
94,78-MFCC.csv,7.5745754,6.8265576,6.0467253,5.6375875,5.847756,4.3240523,3.723269,4.3237414,2.579027,4.2227607,6.7704525,4.058587,5.410666,5.89,4.9840627,3.9814286,1
95,79-MFCC.csv,8.818551,7.3624296,6.461305,4.7731767,5.198913,4.072823,3.3206522,4.119402,2.8809884,4.282726,6.551808,4.470231,6.2036834,6.3340635,4.7614374,3.9486878,4
96,80-MFCC.csv,8.152386,7.016095,4.9571643,4.3310966,5.387127,4.6610765,4.7664332,6.4711475,3.36989,5.046148,6.101427,4.1735487,4.2641172,6.416163,5.038046,4.534882,2
97,81-MFCC.csv,7.4414115,6.541029,4.709617,5.3756795,5.8518815,4.791976,4.7550826,6.1020846,2.785429,5.080161,6.2799244,4.093004,3.871354,6.079603,4.867884,4.7030964,0
98,82-MFCC.csv,8.248611,7.0744348,5.137275,4.3454094,5.3464627,4.618031,4.5752344,6.1578245,3.327865,4.9405346,6.126048,4.21955,4.5292735,6.425602,4.99203,4.4716625,2
99,83-MFCC.csv,7.8821716,6.811362,4.656012,4.5832686,5.5404115,4.8576517,4.9325185,6.5974765,3.336257,5.1714697,5.9509783,4.0783396,3.8787203,6.3536205,4.8484454,4.786436,2
100,84-MFCC.csv,7.9229116,6.9306107,4.494142,4.273191,5.520136,4.6243567,5.3705115,7.197355,3.4435487,5.263933,6.0086117,4.1762123,3.540093,6.4520288,5.2565746,4.6359286,2
101,85-MFCC.csv,8.725207,7.4251447,6.4760394,4.816976,4.6792912,4.1783504,3.170548,3.7870584,3.2009726,4.5775814,6.509131,4.5370693,6.1377754,5.883154,4.4348,3.981305,4
102,86-MFCC.csv,7.6456566,6.860564,6.0566196,5.593929,5.734489,4.2751317,3.922243,4.484941,2.7516987,4.3027654,6.616706,3.9538572,5.2913566,5.922679,4.928732,3.9867253,1
103,87-MFCC.csv,7.391988,6.4455657,4.928261,5.689069,5.8803473,4.722599,4.77219,6.0292234,2.5957613,5.168826,6.489501,4.132628,4.1633615,5.950845,4.706634,4.7412767,0
104,88-MFCC.csv,7.97963,7.0029154,5.9076276,5.5140615,5.193103,4.2981105,3.8284063,4.426876,3.1301281,4.9136863,6.2210417,4.0551915,4.9962597,5.544357,4.400467,4.2392573,3
105,89-MFCC.csv,7.895398,6.9983807,6.2430687,5.183203,5.4466825,4.4443145,3.5587041,4.2105484,2.810122,4.1958194,6.8907166,4.4087815,5.9091444,5.8389378,4.9344406,3.8061218,1
106,90-MFCC.csv,7.450572,6.435071,4.736341,5.5859194,5.8948455,4.8594604,4.7646503,5.98485,2.691874,5.089348,6.3278513,4.18495,3.9048533,6.006452,4.7856884,4.811079,0
107,91-MFCC.csv,8.921523,7.5708966,6.544162,4.6290183,4.7986627,3.981273,3.1120555,3.757993,3.0778773,4.402139,6.537326,4.5381327,6.311035,6.1437073,4.5300336,3.9576464,4
108,92-MFCC.csv,7.9790063,6.9759793,5.427208,4.9841766,5.201753,4.4483805,4.4225407,5.5662003,3.2969847,5.037478,6.1876965,4.113006,4.63526,5.983277,4.632743,4.474985,5
109,93-MFCC.csv,7.946146,6.9019136,4.411523,4.245636,5.560632,4.6280694,5.3681626,7.2300406,3.446382,5.3069277,5.953302,4.2401257,3.4624438,6.427152,5.2992625,4.69634,2
110,94-MFCC.csv,8.218797,7.0645947,5.775821,4.6786213,5.271977,4.4494066,4.1439447,5.326107,3.187952,4.6690965,6.4495006,4.2849913,5.3208423,6.084602,4.809474,4.089697,5
111,95-MFCC.csv,7.352731,6.508953,4.798954,5.447999,5.8549337,4.6726894,4.5537767,6.0331497,2.7273817,5.1989784,6.336852,3.938528,4.1016297,5.957106,4.8518424,4.7456346,0
112,96-MFCC.csv,8.0325775,6.990106,4.4991813,4.1685705,5.532412,4.811764,5.285123,7.125303,3.462595,5.1972923,5.988388,4.2141743,3.702408,6.5960245,5.217865,4.717288,2
113,97-MFCC.csv,7.885449,6.965763,4.605922,4.1740627,5.376513,4.646779,5.3523617,7.2549763,3.5675645,5.276631,5.9976053,4.033008,3.768745,6.5151987,5.048661,4.6996584,2
114,98-MFCC.csv,7.7192445,6.8985534,5.898108,5.389927,5.540961,4.3645926,4.0726256,4.764176,2.9732554,4.463966,6.5123477,4.0427523,5.151481,5.946169,4.8931713,4.09531,1
115,99-MFCC.csv,8.617286,7.1377497,6.7210507,5.1742363,4.774918,4.142814,3.0765047,3.7093399,3.0472817,4.573523,6.5081983,4.5246396,6.3378973,5.7505145,4.266326,3.808808,4
