Filename,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15
55-MFCC.csv,8.028719,5.586905,5.1037693,3.9748285,8.077378,3.4192607,8.365913,5.7290936,4.696517,6.562821,4.220153,5.4922376,4.125429,8.702932,9.575847
56-MFCC.csv,8.240126,4.8528,4.312307,4.6159515,7.7560205,2.1679323,8.666147,6.425325,5.306288,6.036221,4.3825645,4.8597584,2.9889233,9.296665,9.125982
57-MFCC.csv,7.723773,5.515727,5.0355353,4.1997075,7.8070564,3.2979467,8.302622,5.783786,4.9531093,6.4167976,4.4215302,5.5960426,3.82412,8.7684765,9.191838
58-MFCC.csv,7.5733013,5.7303686,5.273037,4.3235593,8.27377,3.4883144,8.412302,5.695144,4.8442526,6.296183,4.3129673,5.547772,4.0200095,8.673393,9.169078
59-MFCC.csv,5.945117,7.0623336,5.7100277,5.057445,8.761626,4.9278793,9.208348,5.0086193,4.9783535,5.5096717,4.559246,6.0245132,4.5162177,8.910561,8.966602
60-MFCC.csv,7.325135,5.832735,5.1100593,4.600095,8.221031,3.3241358,8.569133,5.689879,4.8764205,6.096059,4.3246837,5.5060434,3.8247032,8.869965,9.06671
61-MFCC.csv,6.6168957,6.2864385,5.374047,4.3423777,8.513094,3.9175706,8.587276,4.957826,4.693904,6.251367,4.2909493,5.73795,4.413169,8.360676,8.931475
62-MFCC.csv,8.092239,4.980434,4.6113114,4.5733833,7.8100142,2.1500738,8.581894,6.203021,5.280977,6.010781,4.312166,4.809489,3.0494263,9.104389,8.953029
63-MFCC.csv,5.8325715,7.123816,5.466957,5.3644395,8.786116,5.116672,9.3145075,5.0246735,4.7475224,5.3270288,4.464149,6.1423087,4.5182037,9.157964,8.900967
64-MFCC.csv,7.7296185,5.7980337,5.0606713,4.4915833,8.201988,2.4667792,8.799996,5.5633903,4.867499,5.85269,3.824207,4.82652,3.7028306,8.805836,8.962679
65-MFCC.csv,7.5227556,5.757355,5.0889087,4.3625374,8.063528,3.5855274,8.4667845,5.7280045,4.830408,6.3088613,4.4014773,5.644005,3.9872603,8.806943,9.217764
66-MFCC.csv,6.176629,6.698025,5.2590313,5.1276526,8.544062,4.4899554,9.108966,5.2336836,4.6978335,5.669475,4.4262877,5.8913913,4.2997556,9.036845,8.882707
67-MFCC.csv,6.0257387,6.7505903,5.3288355,5.058124,8.56314,4.52176,9.038034,5.1262593,4.728609,5.726349,4.498976,5.9194856,4.357588,8.850299,8.82483
68-MFCC.csv,8.068256,5.747659,5.148928,4.1273446,8.086191,3.3412974,8.470114,5.7354484,4.775708,6.3097486,4.178045,5.62497,4.1244445,8.79361,9.384674
69-MFCC.csv,7.7279916,5.616189,5.4476666,3.9983122,8.316958,2.7154818,8.386243,5.284411,4.8966484,6.2682304,3.8885162,4.9402776,4.002436,8.356127,9.008573
70-MFCC.csv,7.825104,5.34974,5.083773,4.4870954,8.176908,2.2220898,8.506059,5.762707,5.027006,6.0766172,4.0467744,4.686402,3.475964,8.755385,8.915293
71-MFCC.csv,7.907929,5.852358,5.161729,4.317789,8.2110195,3.415223,8.557426,5.753829,4.762182,6.191683,4.206023,5.6449795,4.105056,8.856531,9.309804
72-MFCC.csv,8.299497,5.075051,4.454374,4.6260667,7.5404854,2.415126,8.647031,6.350007,5.1871977,6.084191,4.36724,4.8617806,2.9077504,9.303978,9.053327
73-MFCC.csv,8.040366,5.5186462,4.8105264,4.595567,8.089815,2.0961697,8.7780485,5.863784,4.9664474,5.838973,3.885018,4.686985,3.457833,8.976218,8.982862
74-MFCC.csv,7.81502,5.2541265,5.26606,4.2869563,8.264374,2.1721253,8.369029,5.654045,5.088059,6.1693864,4.018987,4.686579,3.5554605,8.534948,8.894944
75-MFCC.csv,6.2949576,6.318082,5.349361,4.205759,8.621197,4.077524,8.35611,4.606897,4.572342,6.5083003,4.4774733,5.960867,4.5956016,8.132604,8.873897
76-MFCC.csv,8.089406,5.4808464,5.0128784,4.263625,7.902789,2.1020474,8.674377,5.633363,5.114464,5.878887,3.7900538,4.727993,3.4112694,8.756136,8.862737
77-MFCC.csv,8.344112,4.869393,4.3241286,4.546237,7.3999314,2.2246807,8.503397,6.4925785,5.214802,6.166989,4.4453473,5.0474405,2.9680283,9.32157,9.154206
78-MFCC.csv,7.693357,5.411806,5.524874,3.907109,8.260921,2.598826,8.233947,5.303083,4.9769225,6.3901935,3.9930859,4.8899717,3.8930104,8.264077,8.996274
79-MFCC.csv,7.913783,5.1130657,4.508458,4.758556,7.886968,2.2729278,8.716982,6.2523212,5.202193,5.9269505,4.341473,4.9061155,3.1555576,9.202873,9.024354
80-MFCC.csv,6.349494,6.6079926,5.2488065,5.1435375,8.527259,4.3881617,9.143494,5.2751393,4.7562265,5.5769353,4.374935,5.831553,4.2211857,9.174675,8.959747
81-MFCC.csv,6.0324445,6.4258537,5.180122,4.373512,8.638236,4.2709503,8.501326,4.5649667,4.4536757,6.3943696,4.4873505,6.0134335,4.5882754,8.108859,8.701945
82-MFCC.csv,6.5658426,6.454955,5.123271,5.099992,8.382465,4.1186657,9.120375,5.448226,4.761056,5.629869,4.347594,5.7163672,4.103553,9.1948805,8.977419
83-MFCC.csv,5.9667554,6.84303,5.360775,5.074653,8.694286,4.827618,9.023341,5.1650887,4.6044793,5.8050256,4.4904685,6.12418,4.4948235,8.828307,8.855746
84-MFCC.csv,5.79114,7.1323953,5.704503,5.194891,8.7975235,5.015075,9.327131,4.7841372,4.9123173,5.338115,4.4488363,6.0336943,4.5544224,9.123396,8.971892
85-MFCC.csv,8.658387,5.155755,4.4554086,4.4028563,7.6001143,2.3932087,8.755636,6.331314,5.224947,6.0459847,4.1699905,4.908728,3.0507274,9.200831,9.317449
86-MFCC.csv,7.695376,5.619744,5.4839325,4.080135,8.347478,2.7241929,8.3280325,5.393924,4.855313,6.3324847,3.9590547,5.0026536,3.9402723,8.4061575,9.099788
87-MFCC.csv,6.226441,6.24697,5.4248667,4.1862245,8.471668,4.0576954,8.429767,4.733657,4.559272,6.5006,4.426846,5.8810916,4.535632,8.124169,8.685435
88-MFCC.csv,7.978168,5.5135493,5.2132983,3.8758512,7.998309,3.3203847,8.240993,5.611889,4.8170557,6.5755277,4.2549906,5.5268483,4.1172915,8.571747,9.393995
89-MFCC.csv,7.9954925,5.4807973,5.094549,4.1822534,7.860696,2.2175262,8.617575,5.5272985,5.1377807,5.9401107,3.8258622,4.7831197,3.4241295,8.682607,8.8238945
